primaryTitle	averageRating	numVotes	tconst
Chapter 16: The Rescue	9.8	62655	tt13052880
Sleepytime	9.8	8981	tt12539164
Episode #1.20	9.8	527	tt1231306
Episode #1.19	9.8	533	tt1231305
Episode #1.18	9.8	530	tt1231304
House's Head	9.8	11754	tt1216108
Sozin's Comet, Part 3: Into the Inferno	9.8	10283	tt1204264
Episode #1.8	9.8	765	tt1169502
Saul Gone	9.8	57082	tt11630828
Firar	9.8	746	tt11321818
Iskambilden Ev	9.8	751	tt11321816
Hello, Elliot	9.8	21704	tt10883092
Blink	9.8	24408	tt1000252
Hero	9.7	131015	tt9906260
150146	9.7	5504	tt9583206
Change Your Mind	9.7	4257	tt9326572
Old Friends Not Forgotten	9.7	12849	tt9313962
ronny/lily	9.7	15334	tt8956332
Bad Choice Road	9.7	27024	tt8772220
Bagman	9.7	27598	tt8772218
Rinascimiento of Image Formation -Return of Phoenix-	9.7	1572	tt8660066
Reunited	9.7	2316	tt8580186
Friday Five Sharp	9.7	4489	tt8560994
A Devil of My Word	9.7	14632	tt8253126
A Single Pale Rose	9.7	2435	tt8181496
Come Along With Me	9.7	4533	tt8164820
409 Conflict	9.7	14901	tt8084180
405 Method Not Allowed	9.7	15395	tt8084166
Episode #1.22	9.7	600	tt7701318
Episode #1.21	9.7	598	tt7701316
Teddy Perkins	9.7	9078	tt7629358
Kanashiki Kettou: Luffy tai Sanji (Kouhen)	9.7	24713	tt7453430
Choufli Hal	9.7	2825	tt7151672
Scream	9.7	36914	tt6723710
Warrior	9.7	49168	tt6723680
Episode XCIII	9.7	2230	tt6638246
eps3.4_runtime-err0r.r00	9.7	13682	tt6633696
10. Bolum	9.7	1035	tt6461896
8. Bolum	9.7	1035	tt6461894
9. Bolum	9.7	1039	tt6461892
Super Bowl Sunday	9.7	6447	tt6439870
Jerma985	9.7	610	tt6439480
The Battle of Concepts	9.7	1561	tt6402802
The Halo Around the Moon	9.7	1367	tt6218112
Red Dead Redemption II	9.7	56145	tt6161168
Robbie's Dream Team	9.7	12978	tt6080222
The Absolute Limit Switch	9.7	2066	tt6009064
Upanishad Ganga	9.7	1061	tt5961444
The Choices	9.7	1649	tt5830088
START	9.7	4781	tt5780830
The Spoils of War	9.7	95272	tt5775846
Kothao Keu Nei	9.7	1357	tt5721762
Chicanery	9.7	28332	tt5719536
Nobume	9.7	1915	tt5593252
Karma	9.7	1959	tt5576234
Life Is a Series of Choices	9.7	1462	tt5511776
Farewell, Buddy	9.7	1889	tt5443922
Sworn Enemy	9.7	3411	tt5443910
Pinky Swear	9.7	1361	tt5443880
Five Pinkies	9.7	1599	tt5443876
Those Who Protect Against All Odds	9.7	2094	tt5338938
Ninja Village	9.7	1577	tt5338912
The Bicameral Mind	9.7	31877	tt5229638
The Witcher 3: Wild Hunt - A Night to Remember	9.7	4235	tt5091902
Faith	9.7	10306	tt4938410
Spring Breeze	9.7	2642	tt4792756
The Day the World Went Away	9.7	6747	tt4679206
YHWH	9.7	7281	tt4532988
Bölüm 89	9.7	3225	tt4378428
The Door	9.7	78997	tt4283028
May God Bless and Keep You Always	9.7	690	tt4202244
The Wrath of the Lamb	9.7	15268	tt4089754
Valerie Gets What She Really Wants	9.7	505	tt4034956
School	9.7	561	tt3912736
Episode #1.1	9.7	1330	tt3705620
And Then There Was Ben	9.7	529	tt3686284
And Then There Were None	9.7	509	tt3686280
Deus Ex Machina	9.7	6178	tt3615630
The Devil's Share	9.7	6612	tt3331452
The Crossing	9.7	6709	tt3291628
Hande Erçel'den Burak Deniz'e Övgüler	9.7	2404	tt32160777
Çarkifelek 27. Bölüm	9.7	2238	tt32108368
Beyaz Show 22-12-2017	9.7	4585	tt31869191
Hande Erçel ve Burak Deniz Yeni Dizilerinin Heyecanini Ilk Kez Paylasti	9.7	3133	tt31638972
Hande Erçel ve Burak Deniz Sorularinizi Yanitliyor! | Bambaska Biri	9.7	3182	tt31464974
Hande Erçel ile Bi' Kahve 2 Sohbet/Bölüm 3	9.7	2384	tt31408656
Remember It	9.7	7978	tt31322436
The Stories We Leave Behind	9.7	909	tt30783867
Entering a New Chapter! Luffy and Sabo's Paths!	9.7	19459	tt30673629
The Laws of Gods and Men	9.7	59963	tt3060910
The Mountain and the Viper	9.7	61287	tt3060782
Strawberry Melancholy	9.7	3127	tt29341882
Sahrayicedid	9.7	799	tt2932664
Esma Sultan Yalisi	9.7	797	tt2932634
Grand Finale	9.7	901	tt28640610
The Lion and the Rose	9.7	61596	tt2832378
Cricket	9.7	1475	tt27896202
Two Paths	9.7	5677	tt27589543
Emperor of Rebellion	9.7	6691	tt27589539
Summit	9.7	3537	tt2728492
Episode #1.12	9.7	578	tt26697658
Through the Looking Glass: Part 2	9.7	1478	tt26421545
The Wrong Jedi	9.7	6810	tt2628854
Forks	9.7	16246	tt26230388
Victory	9.7	8423	tt2553414
The Lawless	9.7	7132	tt2542356
OdBita Pot	9.7	840	tt24228604
Exit 9B	9.7	4184	tt2421174
I Remember You	9.7	3708	tt2401584
It's a Wonderful World	9.7	2526	tt23875712
Maiden Heaven: Part 2	9.7	2250	tt23875710
Ghosts Aren't the Only Ones Who Go Crazy in Graveyards	9.7	2511	tt2361652
The Finals IV: Partner	9.7	1107	tt23555482
Dead Freight	9.7	41334	tt2301463
Granite State	9.7	54515	tt2301453
The Lord of the Rings: The Return of the King - Special Extended Edition Scenes	9.7	918	tt21811606
The Last of Us	9.7	76937	tt2140553
Christina Grimmie Zeldaxlove 64	9.7	648	tt21099140
The Last of Us: Part I	9.7	7756	tt20918700
Blackwater	9.7	55564	tt2084342
Straw Hat Luffy! The Man Who Will Become the King of the Pirates!	9.7	57724	tt19811660
Supremme Eleganza Talent Extravaganza	9.7	3055	tt19369844
The Train	9.7	3361	tt19064730
Handler One	9.7	1589	tt18917938
Kejime o Tsukeru: Shirohige vs Kurohige Kaizokudan	9.7	33945	tt1830404
Kaigun Honbu Houkai! Shirohige Kotobanaki Ikari!	9.7	29066	tt1824873
Kotae o Sagashite: Hiken Ace Senjou ni Shisu	9.7	34795	tt1821284
Hi o mo Yaki Tsukusu Chikara: Akainu Hijou no Tsuigeki	9.7	28200	tt1806725
From You, 2000 Years Ago	9.7	73266	tt17594170
Never Give Up	9.7	24491	tt17521746
Memories of the Future	9.7	76880	tt17505964
Two Brothers	9.7	77888	tt17277218
Crawl Space	9.7	41631	tt1683086
Sanctuary	9.7	3671	tt1643648
Death and All His Friends	9.7	4087	tt1643647
Brownsville, TX	9.7	831	tt16435678
7. Bolum	9.7	1278	tt1642101
5. Bolum	9.7	1229	tt1630399
Swan Song	9.7	11714	tt1626753
2. Bolum	9.7	1241	tt1622161
1. Bolum	9.7	1252	tt1622160
The Suitcase	9.7	6519	tt1615666
Full Measure	9.7	37652	tt1615553
Set Your Heart Ablaze	9.7	7464	tt15757632
NS	9.7	6986	tt1559909
All the Bells Say	9.7	16990	tt15423196
Pinnacle of Light	9.7	659	tt15079868
Shut the Door. Have a Seat	9.7	5176	tt1484414
The Endings	9.7	3718	tt14607194
I'm Disappointed in You	9.7	769	tt14582550
Kesareta Nakama-tachi: Mugiwara Ichimi Saigo no Hi	9.7	30687	tt1453919
Awakening	9.7	1663	tt14466420
Elizabeth	9.7	574	tt14231266
Black Oath	9.7	5532	tt13989180
My Finale: Part 2	9.7	5007	tt1385812
Assault	9.7	103429	tt13857684
The War Hammer Titan	9.7	78299	tt13819632
True Colors	9.7	1853	tt13706734
Chapter 9: The Deerfox	9.7	997	tt13642484
Declaration of War	9.7	80255	tt13605714
The We We Are	9.7	16552	tt13424098
Baldur's Gate III	9.7	5425	tt13258344
Nakama no Itami wa Waga Itami: Zoro Kesshi no Tatakai	9.7	35743	tt1322867
The Nightman Cometh	9.7	8273	tt1319916
Remembering Chadwick Boseman	9.7	1906	tt12992696
Stress Relief	9.7	16937	tt1248736
Family Meeting	9.7	4047	tt1243831
Yu Ishigami Closes His Eyes, Part 3/Miyuki Shirogane and Yu Ishigami/Kyoko Otomo Doesn't Realize	9.7	2387	tt12412622
Monsters' Ball	9.7	1881	tt12356696
Episode #1.17	9.7	775	tt1231303
Point and Shoot	9.7	39795	tt12187044
Rock and Hard Place	9.7	33906	tt12187032
Mouse of Silver	9.7	2761	tt12176328
Wilson's Heart	9.7	10720	tt1216109
His Start	9.7	5091	tt12045824
Episode #1.16	9.7	779	tt1198424
Episode #1.7	9.7	681	tt1169501
Episode #1.6	9.7	916	tt1169500
Episode #1.5	9.7	917	tt1169499
Episode #1.4	9.7	1197	tt1169498
Episode #1.9	9.7	1042	tt1164133
Episode #1.7	9.7	1274	tt1164131
Episode #1.6	9.7	1267	tt1164130
This Is Not for Tears	9.7	15856	tt11079892
Enter the Dragon	9.7	3033	tt11046444
Julius Novachrono	9.7	2862	tt10731706
Marmadesam	9.7	869	tt10526388
Hinokami	9.7	18825	tt10433100
Call Me Kevin	9.7	1880	tt10116578
Through the Looking Glass: Part 1	9.7	13479	tt1004798
That Day	9.7	55579	tt10034602
Midnight Sun	9.7	66898	tt10023374
The Mongolia Special-Survival of the Fattest	9.7	4351	tt10008916
The Constant	9.7	15225	tt0994365
With Tired Eyes, Tired Minds, Tired Souls, We Slept	9.7	1852	tt0757574
Two Cathedrals	9.7	3694	tt0745721
The Secret Box/Band Geeks	9.7	5027	tt0707287
Pine Barrens	9.7	16050	tt0705272
Long Term Parking	9.7	11003	tt0705260
My Screwup	9.7	6095	tt0696628
The One Where Everybody Finds Out	9.7	13301	tt0583452
Papa's Got a Brand New Excuse	9.7	3341	tt0583018
The Body	9.7	7694	tt0533496
Once More, with Feeling	9.7	11222	tt0533466
Hush	9.7	8332	tt0533443
Under Siege Pt 2	9.6	619	tt9867224
Where I Really Come From	9.6	15698	tt9691188
A Fist of Divine Speed! Another Gear Four Application Activated!	9.6	12694	tt9632460
The Interview	9.6	7706	tt9216752
Always Hold on to Your trumpcard	9.6	1508	tt8858304
Who's da New King of Hell?	9.6	10804	tt8565640
Episode #1.12	9.6	1772	tt8492824
Please Remain Calm	9.6	52586	tt8482972
The Beginning Part 2	9.6	1972	tt8400858
The Showstopper	9.6	7379	tt8266836
This is the Ultimate Battle of All Universes! Son Goku vs Jiren!!	9.6	3010	tt7419392
The Challengers	9.6	1411	tt7415348
Shoto Todoroki: Origin	9.6	3904	tt6941178
Hell Bent	9.6	641	tt6749854
Episode #1.12	9.6	576	tt6673158
Siblings	9.6	1206	tt6646378
Episode XCIV	9.6	1625	tt6638248
eps3.5_kill-pr0cess.inc	9.6	11933	tt6635194
Episode #1.7	9.6	1370	tt6609456
Episode #1.6	9.6	1380	tt6540396
12. Bolum	9.6	536	tt6461906
The Volleyball Idiots	9.6	1021	tt6402800
Meet the Seer	9.6	3379	tt6381876
Goodbye, Morioh - The Heart of Gold	9.6	2410	tt6358554
Islands Part 6: Min and Marty	9.6	1853	tt6355370
All His Angels	9.6	15436	tt6223224
Revenge of the Queens	9.6	835	tt6098280
Omedetô	9.6	2654	tt5975892
Golden Frog Time	9.6	3212	tt5960350
Kyouki no Sotogawa	9.6	2679	tt5908784
Mr. Greg	9.6	2216	tt5869624
Lie Down in the Light	9.6	643	tt5867114
Pilot	9.6	770	tt5770114
Farewell Shinsengumi	9.6	1420	tt5593254
Lian Yu	9.6	8292	tt5584166
Undelivered Mail	9.6	1298	tt5540878
End of the Beginning	9.6	657	tt5468098
The Crows Caw After the Battle Ends	9.6	1388	tt5443916
Perform a German Suplex on a Woman Who Asks If She or The Job Is More Important	9.6	1055	tt5443746
Amrutham	9.6	888	tt5345958
And Then There Were Five	9.6	1494	tt5338930
Ninja Soul	9.6	1281	tt5338920
Gear Fourth! Kyoui no Bounce Man!	9.6	14080	tt5326246
That's Too Much, Man!	9.6	9645	tt5218488
Fish Out of Water	9.6	12019	tt5218434
The Rickshank Rickdemption	9.6	24644	tt5218228
Bölüm 88	9.6	3602	tt5142940
Yuke Law: Yasashiki Otoko Saigo no Tatakai!	9.6	6844	tt4927314
Rikudô Sen'nin	9.6	2608	tt4836454
Heaven Sent	9.6	13171	tt4701542
A Tale of Two Stans	9.6	4246	tt4575574
No Way Out	9.6	32993	tt4575388
International Assassin	9.6	9846	tt4550868
Jail Break	9.6	2482	tt4519204
The Promise	9.6	3050	tt4217814
Out of Time	9.6	15428	tt4138338
Papa's Goods	9.6	9021	tt3885886
Venom of the Red Lotus	9.6	4376	tt3865220
XVIII.	9.6	3814	tt3708414
Skips' Story	9.6	3693	tt3686592
Succession	9.6	561	tt3329884
No Sanctuary	9.6	31251	tt3297776
Eskihisar	9.6	563	tt3239398
Hitting the Fan	9.6	1902	tt3234826
Powers on a Different Level! Luffy vs. Lucci!	9.6	18600	tt31989046
Interview with Grace Rady on LBC	9.6	1699	tt31639308
FICCI Frames	9.6	3150	tt31638933
Bi' Kahve 2 Sohbet	9.6	2904	tt31369068
Episode #1.2	9.6	1418	tt31307854
Episode #1.1	9.6	1412	tt31216294
The Quarterback	9.6	3622	tt3068760
The Children	9.6	52678	tt3060860
The Watchers on the Wall	9.6	54057	tt3060858
Sapne Vs Zamana	9.6	7040	tt30273851
Sapne Vs Kismat	9.6	5569	tt30273849
Sapne Vs Imaandaari	9.6	5682	tt30273847
Sapne Vs Darr	9.6	4698	tt30273845
The Witcher 3: Wild Hunt	9.6	33739	tt2993508
Metamorphosis	9.6	9036	tt29626913
Right and Wrong - Part 3	9.6	7151	tt29626909
Fluctuations - Part 2	9.6	9013	tt29609729
Red Scale	9.6	8770	tt29506350
Too Far Gone	9.6	30268	tt2948638
Kirmizi Yali	9.6	801	tt2938512
Yildiz Sarayi	9.6	1033	tt2932654
Kanli Cinar	9.6	1031	tt2932628
Canfeda	9.6	1042	tt2932626
Kiz Kulesi	9.6	1038	tt2932618
Jerry	9.6	1177	tt29044700
Konchem Hatke	9.6	1086	tt28520479
Shibuya Incident - Gate, Open	9.6	11817	tt28515477
Hidden Inventory: Part 4	9.6	10061	tt28372238
Hidden Inventory: Part 3	9.6	10042	tt28362335
The Musidrag	9.6	1230	tt28188360
Sevda Tepesi	9.6	1044	tt2792292
Who Goes There	9.6	35570	tt2790174
The Three-Sword Style of the Supreme King! Zoro vs. King	9.6	72722	tt27715317
Pain	9.6	4312	tt27488513
Mihrimah Sultan Camii	9.6	1045	tt2735344
Kagithane	9.6	1041	tt2735336
Endgame	9.6	3301	tt2728496
Sustenance	9.6	826	tt26658653
Kanli Kuyu	9.6	1232	tt2647384
Cellat Cesmesi	9.6	1262	tt2644988
Oath	9.6	6018	tt26420417
Fishes	9.6	19911	tt26230386
Simon & Marcy	9.6	3159	tt2620082
Clean, Part 2	9.6	869	tt24513484
The Vanishing of Sidney Gomez	9.6	754	tt24216568
Condition × and × Condition	9.6	4042	tt2414266
Kokuhaku	9.6	2512	tt2402498
Coke Studio Pakistan	9.6	1298	tt2400629
Firewall	9.6	6118	tt2380789
The Plight Before Christmas	9.6	2467	tt23708680
'Tis an Honor!	9.6	1271	tt2361650
Raja Shivchhatrapati	9.6	679	tt2354568
Divine Tree 3 ~Dimple Is~	9.6	1896	tt23018612
Gliding Over All	9.6	36744	tt2301469
Say My Name	9.6	37981	tt2301467
Confessions	9.6	37877	tt2301445
Eggscellent	9.6	3880	tt2246005
Force without wisdom falls of its own weight	9.6	1357	tt21935338
The Lord of the Rings: The Fellowship of the Ring - Special Extended Edition Scenes	9.6	1208	tt21811588
Being Meltdown	9.6	2578	tt2157961
De'ah Da'iah	9.6	1048	tt2110659
Auld Acquaintance	9.6	3528	tt2087629
Last Night Gus	9.6	2474	tt2025155
Parivaar	9.6	4361	tt20125040
The Hardest Thing	9.6	961	tt19846550
All In	9.6	845	tt19769722
The Reichenbach Fall	9.6	40868	tt1942614
Izzat Ki Chamkaar	9.6	811	tt19396896
The Dawn of Humanity	9.6	37177	tt18953204
Shin	9.6	1613	tt18559878
Baelor	9.6	51796	tt1851398
Episode #1.13	9.6	4269	tt18311178
Ibrahim Selim Ile Bu Gece #63	9.6	5343	tt18306264
Episode #1.1	9.6	2884	tt17548052
Defeating an Upper Rank Demon	9.6	10380	tt17337688
Salud	9.6	35369	tt1683085
Tobira no mukougawa	9.6	4604	tt1675927
The Magnificent Steiner's Rage	9.6	1841	tt1643897
The Landscape of the End	9.6	2202	tt1643896
Detroit, MI	9.6	853	tt16435756
Barberton, OH	9.6	827	tt16435714
Chicago, IL	9.6	861	tt16435652
Little Dominican Republic, NY	9.6	869	tt16435572
Houston, TX	9.6	927	tt16435546
A Fistful of Paintballs	9.6	8570	tt1640867
Turning Point 2	9.6	2532	tt16390300
Always	9.6	1259	tt1631966
6. Bolum	9.6	1279	tt1630400
The French Mistake	9.6	11324	tt1627712
4. Bolum	9.6	1220	tt1622163
3. Bolum	9.6	1219	tt1622162
One Minute	9.6	34092	tt1615944
The Monster You Created	9.6	19012	tt15496440
The Base Violence Necessary for Change	9.6	20975	tt15496376
The Son	9.6	1064	tt1526671
Kill Them All	9.6	6793	tt1521502
Changing Channels	9.6	11033	tt1511910
Zheng Speaks	9.6	583	tt15094982
The Strongest Man	9.6	528	tt14926970
Where To?	9.6	711	tt14901606
Mass Effect: Legendary Edition	9.6	3024	tt14849728
Goodbye	9.6	529	tt14793462
Knock, Knock, Knockin' on Hooty's Door	9.6	2012	tt14709674
Borderline Forever	9.6	1269	tt14707514
A Sense Of The Ending.	9.6	4887	tt14691124
King's Tide	9.6	1497	tt14671594
Hollow Mind	9.6	1280	tt14671574
What's Your Name?	9.6	564	tt14669730
Broken	9.6	9901	tt1462220
Those Who Follow	9.6	1678	tt14466394
Episode #5.10	9.6	5879	tt14250476
Birth of a Demon Lord	9.6	1465	tt14161242
Herogasm	9.6	36537	tt14143312
Nonstandard	9.6	11006	tt14134754
Savagery	9.6	40248	tt14132418
Both Sides Now	9.6	6033	tt1413129
Tekken Sakuretsu! Auction o Buttsubuse	9.6	9330	tt1411541
Barstool Yak	9.6	558	tt14113640
Faraway Future	9.6	3429	tt14017100
Captain Yami Sukehiro	9.6	4721	tt13976780
Love Me Down to My Blood and Guts	9.6	3113	tt13796606
Kiraana	9.6	1191	tt13760178
The Why Files	9.6	758	tt13733810
Baby Race	9.6	1941	tt13429908
God of War Ragnarök	9.6	17813	tt13119450
The Last One	9.6	2290	tt13057370
Episode #1.1	9.6	1094	tt12920780
Camping	9.6	1231	tt12587960
Das Paradies	9.6	24972	tt12557704
The Taste of Death	9.6	1761	tt12496222
Community Table Read	9.6	1512	tt12434942
Heart Part 2	9.6	1889	tt12339618
The Pride of the General	9.6	541	tt12154376
Episode #1.15	9.6	731	tt1186854
Episode #1.12	9.6	1040	tt1186851
Episode #1.11	9.6	1043	tt1186850
Episode #1.10	9.6	1050	tt1186849
Episode #1.3	9.6	1186	tt1169497
Episode #1.8	9.6	1034	tt1164132
Episode #1.5	9.6	1280	tt1164129
Episode #1.3	9.6	1209	tt1164127
Episode #1.2	9.6	1217	tt1164126
Episode #1.1	9.6	1251	tt1164125
Threat Level Midnight: The Movie	9.6	11160	tt11620828
The Final Attack	9.6	2232	tt11566794
Infinite 100%	9.6	4744	tt11488600
With Interest	9.6	743	tt11348626
Madamin Konagi	9.6	690	tt11321806
Together Again	9.6	2605	tt11198708
Chapter Seven: The Massacre at Hawkins Lab	9.6	41710	tt11172022
SLAPP Suits	9.6	745	tt11110668
Nice While It Lasted	9.6	8303	tt11028176
We Won't Lose to You	9.6	2134	tt10944666
A True Warrior	9.6	6835	tt10529418
The Siege of the North, Part 2	9.6	6168	tt10512638
The Good Place: Live Panel Discussion	9.6	1671	tt10453272
Beneath a Sky on the Verge of Falling	9.6	2393	tt10207534
Attack Titan	9.6	34083	tt10064964
The Blue Comet	9.6	9722	tt0995838
-30-	9.6	6901	tt0977179
Some You Give Away	9.6	909	tt0903486
Born Free	9.6	12788	tt0877058
The Crossroads of Destiny	9.6	7309	tt0822878
My Lunch	9.6	3847	tt0796524
Middle Ground	9.6	7199	tt0749434
Turkeys Away	9.6	1094	tt0742671
Scott Tenorman Must Die	9.6	10700	tt0705958
All Alone	9.6	3559	tt0701975
Time on Our Hands	9.6	1154	tt0666587
The Jolly Boys' Outing	9.6	1487	tt0666576
The Last Newhart	9.6	590	tt0660024
Three Stories	9.6	9112	tt0606046
The Subway	9.6	528	tt0604435
The Last One	9.6	16707	tt0583433
On the Beach	9.6	1792	tt0568062
All in the Family	9.6	1653	tt0567922
Severed Dreams	9.6	1274	tt0517686
I Feel a Cult Coming On	9.6	706	tt0513757
Liverpool FC: Champions of Europe 2005	9.6	636	tt0469787
The Legend of Zelda: Ocarina of Time	9.6	10762	tt0184666
Metal Gear Solid	9.6	12950	tt0180825
The Mystery of King Crimson	9.5	2068	tt9828236
Descent	9.5	29103	tt9806162
Thunder Spears	9.5	28079	tt9790722
Cornered ~True Identity~	9.5	2065	tt9766682
We Need to Talk	9.5	13298	tt9691186
Finally Concluded - An Outcome of the Fierce Battle with Katakuri	9.5	6321	tt9632528
Silent All These Years	9.5	2976	tt9611736
The Catcher in the Rye	9.5	664	tt9469522
140146	9.5	2809	tt9454502
As I Have Always Been	9.5	3862	tt9307262
Episode #3.10	9.5	4559	tt9244920
Open Wide, O Earth	9.5	49214	tt9166672
Pancakes	9.5	550	tt9059796
The Town Where Everything Began	9.5	29137	tt9038682
Beyond Limits	9.5	1398	tt9032188
whoami	9.5	11812	tt8919318
The Creatures Known as Humanity	9.5	880	tt8885928
Part Four	9.5	7080	tt8805244
Wish	9.5	25734	tt8733180
Arclight of the Point at Infinity -Arc-light of the Sky-	9.5	1051	tt8660070
Chi to ko	9.5	5639	tt8630262
Dual of Antinomy -Antinomic Dual-	9.5	1185	tt8463674
Episode X	9.5	3475	tt8434604
Returning the Sake Cup! The Manly Jimbei Pays His Debt!	9.5	3594	tt8285674
I stin Alpha i sti Vita oloi pan gia ti marmita	9.5	1157	tt8203520
The Box	9.5	8532	tt8089526
Geografens testamente	9.5	589	tt8088236
The Bent-Neck Lady	9.5	14852	tt7958030
An Unprecedented Super Showdown! The Ultimate Survival Battle!!	9.5	1989	tt7849548
Viva La Dirt League	9.5	681	tt7747698
Shikemoku: Sanji no Kekkon Zen'ya	9.5	4141	tt7704314
Episode #1.24	9.5	606	tt7701324
Episode #1.23	9.5	605	tt7701320
Episode #1.20	9.5	602	tt7701314
A Miraculous Conclusion! Farewell, Goku! Until We Meet Again!	9.5	2253	tt7617088
Bu Sehre Veda - Finale	9.5	3538	tt7538112
Ali Derin Dügün	9.5	3528	tt7538106
Arkandayiz	9.5	3518	tt7538104
Evimsin	9.5	3547	tt7538098
Tek Yumruk	9.5	3525	tt7538096
Yalniz Degilsin	9.5	3566	tt7538092
Yanimda Ol	9.5	3524	tt7538090
Bebegim	9.5	3533	tt7538086
Yeniden Baslasak	9.5	3539	tt7538080
Sucun Yok	9.5	3531	tt7538078
Arkadasimin Aski	9.5	3538	tt7538074
Zafere gideny ol	9.5	3549	tt7538072
Ah Oglum	9.5	3550	tt7538064
Oglum Için	9.5	3576	tt7538062
Live. Live. Live.	9.5	2896	tt7528760
Volta sthn Aridaia	9.5	521	tt7327448
Finding Frances	9.5	3369	tt7277634
Episode #1.19	9.5	602	tt7271390
Damocles: Part Two	9.5	6263	tt7228366
Winner	9.5	19040	tt7074030
ScoobyNatural	9.5	8901	tt6746190
A New Napkin	9.5	10901	tt6741948
The Devil You Know	9.5	9282	tt6741934
Blindsided	9.5	11805	tt6741930
Charge	9.5	24195	tt6723708
Close Combat	9.5	25141	tt6723686
The Stockholm Syndrome	9.5	10711	tt6674736
Episode #1.17	9.5	617	tt6673182
Episode #1.14	9.5	616	tt6673168
Episode #1.10	9.5	872	tt6637624
Episode #1.8	9.5	1352	tt6637592
shutdown -r	9.5	9920	tt6633682
